Text,Total Tokens
ビジネス書,7
経済書,6
自己啓発書,9
料理書,4
旅行ガイド,7
アートブック,4
コミック,4
漫画,3
電子書籍,7
図書館,7
書店,3
読書会,4
ブッククラブ,5
文芸批評,7
書評,4
著者,4
作家,2
詩人,3
翻訳,5
版権,4
出版,2
自費出版,5
電子出版,5
書籍デザイン,8
書籍製作,7
文化,2
言語,3
スポーツ,4
映画・ドラマ,7
音楽,3
テクノロジー・ガジェット,13
政治・社会問題,8
旅行・アウトドア,9
クッキング・レシピ,8
健康・ウェルネス,11
アート・デザイン,7
ファッション・ビューティ,12
ビジネス・経済,10
教育・学習,9
ライフスタイル・生活,10
サイエンス・科学,8
ブック・文学,5
